Time,Scale
2,-2.29289
2.002,-2.28846
2.004,-2.28406
2.006,-2.27969
2.008,-2.27535
2.01,-2.27103
2.012,-2.26674
2.014,-2.26249
2.016,-2.25826
2.018,-2.25406
2.02,-2.24989
2.022,-2.24575
2.024,-2.24164
2.026,-2.23756
2.028,-2.23351
2.03,-2.22949
2.032,-2.2255
2.034,-2.22154
2.036,-2.21761
2.038,-2.21371
2.04,-2.20984
2.042,-2.20601
2.044,-2.20221
2.046,-2.19843
2.048,-2.19469
2.05,-2.19098
2.052,-2.18731
2.054,-2.18366
2.056,-2.18005
2.058,-2.17647
2.06,-2.17292
2.062,-2.1694
2.064,-2.16592
2.066,-2.16247
2.068,-2.15906
2.07,-2.15567
2.072,-2.15232
2.074,-2.14901
2.076,-2.14572
2.078,-2.14247
2.08,-2.13926
2.082,-2.13608
2.084,-2.13293
2.086,-2.12982
2.088,-2.12674
2.09,-2.12369
2.092,-2.12068
2.094,-2.11771
2.096,-2.11477
2.098,-2.11186
2.1,-2.10899
2.102,-2.10616
2.104,-2.10336
2.106,-2.10059
2.108,-2.09787
2.11,-2.09517
2.112,-2.09252
2.114,-2.08989
2.116,-2.08731
2.118,-2.08476
2.12,-2.08225
2.122,-2.07977
2.124,-2.07733
2.126,-2.07492
2.128,-2.07255
2.13,-2.07022
2.132,-2.06793
2.134,-2.06567
2.136,-2.06345
2.138,-2.06127
2.14,-2.05912
2.142,-2.05701
2.144,-2.05494
2.146,-2.0529
2.148,-2.0509
2.15,-2.04894
2.152,-2.04702
2.154,-2.04514
2.156,-2.04329
2.158,-2.04148
2.16,-2.03971
2.162,-2.03797
2.164,-2.03628
2.166,-2.03462
2.168,-2.033
2.17,-2.03142
2.172,-2.02987
2.174,-2.02837
2.176,-2.0269
2.178,-2.02547
2.18,-2.02408
2.182,-2.02273
2.184,-2.02142
2.186,-2.02014
2.188,-2.01891
2.19,-2.01771
2.192,-2.01655
2.194,-2.01544
2.196,-2.01436
2.198,-2.01331
2.2,-2.01231
2.202,-2.01135
2.204,-2.01042
2.206,-2.00954
2.208,-2.00869
2.21,-2.00789
2.212,-2.00712
2.214,-2.00639
2.216,-2.0057
2.218,-2.00505
2.22,-2.00444
2.222,-2.00387
2.224,-2.00333
2.226,-2.00284
2.228,-2.00239
2.23,-2.00197
2.232,-2.0016
2.234,-2.00126
2.236,-2.00097
2.238,-2.00071
2.24,-2.00049
2.242,-2.00032
2.244,-2.00018
2.246,-2.00008
2.248,-2.00002
2.25,-2
2.252,-2.00002
2.254,-2.00008
2.256,-2.00018
2.258,-2.00032
2.26,-2.00049
2.262,-2.00071
2.264,-2.00097
2.266,-2.00126
2.268,-2.0016
2.27,-2.00197
2.272,-2.00239
2.274,-2.00284
2.276,-2.00333
2.278,-2.00387
2.28,-2.00444
2.282,-2.00505
2.284,-2.0057
2.286,-2.00639
2.288,-2.00712
2.29,-2.00789
2.292,-2.00869
2.294,-2.00954
2.296,-2.01042
2.298,-2.01135
2.3,-2.01231
2.302,-2.01331
2.304,-2.01436
2.306,-2.01544
2.308,-2.01655
2.31,-2.01771
2.312,-2.01891
2.314,-2.02014
2.316,-2.02142
2.318,-2.02273
2.32,-2.02408
2.322,-2.02547
2.324,-2.0269
2.326,-2.02837
2.328,-2.02987
2.33,-2.03142
2.332,-2.033
2.334,-2.03462
2.336,-2.03628
2.338,-2.03797
2.34,-2.03971
2.342,-2.04148
2.344,-2.04329
2.346,-2.04514
2.348,-2.04702
2.35,-2.04894
2.352,-2.0509
2.354,-2.0529
2.356,-2.05494
2.358,-2.05701
2.36,-2.05912
2.362,-2.06127
2.364,-2.06345
2.366,-2.06567
2.368,-2.06793
2.37,-2.07022
2.372,-2.07255
2.374,-2.07492
2.376,-2.07733
2.378,-2.07977
2.38,-2.08225
2.382,-2.08476
2.384,-2.08731
2.386,-2.08989
2.388,-2.09252
2.39,-2.09517
2.392,-2.09787
2.394,-2.10059
2.396,-2.10336
2.398,-2.10616
2.4,-2.10899
2.402,-2.11186
2.404,-2.11477
2.406,-2.11771
2.408,-2.12068
2.41,-2.12369
2.412,-2.12674
2.414,-2.12982
2.416,-2.13293
2.418,-2.13608
2.42,-2.13926
2.422,-2.14247
2.424,-2.14572
2.426,-2.14901
2.428,-2.15232
2.43,-2.15567
2.432,-2.15906
2.434,-2.16247
2.436,-2.16592
2.438,-2.1694
2.44,-2.17292
2.442,-2.17647
2.444,-2.18005
2.446,-2.18366
2.448,-2.18731
2.45,-2.19098
2.452,-2.19469
2.454,-2.19843
2.456,-2.20221
2.458,-2.20601
2.46,-2.20984
2.462,-2.21371
2.464,-2.21761
2.466,-2.22154
2.468,-2.2255
2.47,-2.22949
2.472,-2.23351
2.474,-2.23756
2.476,-2.24164
2.478,-2.24575
2.48,-2.24989
2.482,-2.25406
2.484,-2.25826
2.486,-2.26249
2.488,-2.26674
2.49,-2.27103
2.492,-2.27535
2.494,-2.27969
2.496,-2.28406
2.498,-2.28846
2.5,-2.29289
2.502,-2.29735
2.504,-2.30183
2.506,-2.30635
2.508,-2.31089
2.51,-2.31545
2.512,-2.32005
2.514,-2.32467
2.516,-2.32931
2.518,-2.33399
2.52,-2.33869
2.522,-2.34341
2.524,-2.34817
2.526,-2.35294
2.528,-2.35775
2.53,-2.36258
2.532,-2.36743
2.534,-2.37231
2.536,-2.37721
2.538,-2.38214
2.54,-2.38709
2.542,-2.39207
2.544,-2.39707
2.546,-2.4021
2.548,-2.40714
2.55,-2.41221
2.552,-2.41731
2.554,-2.42243
2.556,-2.42757
2.558,-2.43273
2.56,-2.43792
2.562,-2.44312
2.564,-2.44835
2.566,-2.45361
2.568,-2.45888
2.57,-2.46417
2.572,-2.46949
2.574,-2.47483
2.576,-2.48018
2.578,-2.48556
2.58,-2.49096
2.582,-2.49638
2.584,-2.50181
2.586,-2.50727
2.588,-2.51275
2.59,-2.51825
2.592,-2.52376
2.594,-2.5293
2.596,-2.53485
2.598,-2.54042
2.6,-2.54601
2.602,-2.55162
2.604,-2.55724
2.606,-2.56288
2.608,-2.56854
2.61,-2.57422
2.612,-2.57991
2.614,-2.58562
2.616,-2.59135
